iShares S&P 100 ETF
Fund Holdings as of,"Mar 24, 2023"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"40,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ABT","ABBOTT LABORATORIES","Health Care","Equity","56,535,728.05","0.77","56,535,728.05","576,601.00","98.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","56,153,224.75","0.77","56,153,224.75","162,881.00","344.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","53,796,095.33","0.74","53,796,095.33","299,683.00","179.51","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","53,794,321.88","0.74","53,794,321.88","216,764.00","248.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","52,306,124.64","0.72","52,306,124.64","1,388,904.00","37.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","52,227,527.70","0.71","52,227,527.70","533,206.00","97.95","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","49,969,425.52","0.68","49,969,425.52","1,391,131.00","35.92","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","49,740,213.33","0.68","49,740,213.33","657,157.00","75.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","49,725,518.82","0.68","49,725,518.82","411,942.00","120.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","48,364,294.03","0.66","48,364,294.03","147,277.00","328.39","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","47,587,364.64","0.65","47,587,364.64","703,123.00","67.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","46,721,515.28","0.64","46,721,515.28","484,462.00","96.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","46,524,167.25","0.64","46,524,167.25","512,663.00","90.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","46,003,004.32","0.63","46,003,004.32","368,732.00","124.76","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","45,654,618.59","0.62","45,654,618.59","1,260,133.00","36.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","44,908,738.78","0.61","44,908,738.78","241,354.00","186.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","44,730,290.41","0.61","44,730,290.41","508,241.00","88.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","43,868,124.74","0.60","43,868,124.74","2,357,234.00","18.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","42,032,765.58","0.57","42,032,765.58","176,586.00","238.03","United States","NASDAQ","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","41,574,892.80","0.57","41,574,892.80","220,955.00","188.16","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","40,167,680.24","0.55","40,167,680.24","1,368,109.00","29.36","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","38,623,383.90","0.53","38,623,383.90","404,730.00","95.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","38,144,432.97","0.52","38,144,432.97","202,347.00","188.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","37,887,452.96","0.52","37,887,452.96","199,976.00","189.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","37,461,083.55","0.51","37,461,083.55","298,995.00","125.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","37,376,477.16","0.51","37,376,477.16","380,074.00","98.34","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","37,347,421.00","0.51","37,347,421.00","172,100.00","217.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","36,734,456.57","0.50","36,734,456.57","185,969.00","197.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","36,271,437.00","0.50","36,271,437.00","432,060.00","83.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","35,656,461.06","0.49","35,656,461.06","75,139.00","474.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","35,004,089.16","0.48","35,004,089.16","111,988.00","312.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","34,914,228.04","0.48","34,914,228.04","439,892.00","79.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","32,990,720.00","0.45","32,990,720.00","412,384.00","80.00","United States","NASDAQ","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","32,914,123.73","0.45","32,914,123.73","360,229.00","91.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","32,058,905.91","0.44","32,058,905.91","12,827.00","2,499.33","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","31,937,682.00","0.44","31,937,682.00","49,525.00","644.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","31,458,285.30","0.43","31,458,285.30","196,885.00","159.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","31,110,298.56","0.43","31,110,298.56","424,656.00","73.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","31,097,756.24","0.43","31,097,756.24","450,431.00","69.04","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","30,736,689.12","0.42","30,736,689.12","153,976.00","199.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","27,919,879.96","0.38","27,919,879.96","195,874.00","142.54","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","27,641,832.60","0.38","27,641,832.60","374,145.00","73.88","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","27,612,774.09","0.38","27,612,774.09","640,519.00","43.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","26,865,462.46","0.37","26,865,462.46","504,421.00","53.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","25,963,273.69","0.36","25,963,273.69","590,477.00","43.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","24,694,114.75","0.34","24,694,114.75","360,025.00","68.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","24,030,282.43","0.33","24,030,282.43","254,639.00","94.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","23,780,745.72","0.33","23,780,745.72","152,226.00","156.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","20,267,150.48","0.28","20,267,150.48","276,044.00","73.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","18,439,743.66","0.25","18,439,743.66","182,319.00","101.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","16,688,832.00","0.23","16,688,832.00","76,695.00","217.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","16,632,423.00","0.23","16,632,423.00","74,418.00","223.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","16,060,456.50","0.22","16,060,456.50","460,185.00","34.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","15,639,768.09","0.21","15,639,768.09","188,681.00","82.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","15,525,241.63","0.21","15,525,241.63","460,553.00","33.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","15,429,485.90","0.21","15,429,485.90","15,429,486.00","1.00","United States","-","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","14,903,055.92","0.20","14,903,055.92","1,294,792.00","11.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","13,236,988.24","0.18","13,236,988.24","328,951.00","40.24","United States","NASDAQ","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","12,064,170.42","0.17","12,064,170.42","232,989.00","51.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","12,018,300.90","0.16","12,018,300.90","34,942.00","343.95","United States","NASDAQ","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","11,849,821.80","0.16","11,849,821.80","218,028.00","54.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","11,638,160.28","0.16","11,638,160.28","245,842.00","47.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","11,426,096.25","0.16","11,426,096.25","126,325.00","90.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","11,160,214.52","0.15","11,160,214.52","107,849.00","103.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","10,430,658.00","0.14","10,430,658.00","243,992.00","42.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","10,091,813.96","0.14","10,091,813.96","264,322.00","38.18","United States","NASDAQ","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","7,760,691.00","0.11","7,760,691.00","237,330.00","32.70","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","1,410,622.72","0.02","1,410,622.72","1,410,623.00","100.00","United States","-","USD","1.00","USD","-"
"MSFUT","CASH COLLATERAL MSFUT USD","Cash and/or Derivatives","Cash Collateral and Margins","1,107,640.00","0.02","1,107,640.00","1,107,640.00","100.00","United States","-","USD","1.00","USD","Feb 01, 2009"
"ESM3","S&P500 EMINI JUN 23","Cash and/or Derivatives","Futures","0.00","0.00","18,005,625.00","90.00","4,001.25","-","Index And Options Market","USD","1.00","USD","-"
 
"The content contained herein is owned or licensed by BlackRock and/or its third-party information providers and is protected by applicable copyrights, trademarks, service marks, and/or other intellectual property rights. Such content is solely for your personal, non-commercial use. Accordingly, you may not copy, distribute, modify, post, frame or deep link this content. You may download material displayed on this Website for your personal use provided you also retain all copyright and other proprietary notices contained on the materials. Modification or use of the materials for any other purpose violates BlackRock's intellectual property rights.
Holdings subject to change. See www.iShares.com for the most recent funds holdings.
The values for “price” shown herein generally represent a price provided by a third-party pricing vendor for the portfolio holding and do not reflect the impact of systematic fair valuation (“the vendor price”). The vendor price is not necessarily the price at which the Fund values the portfolio holding for the purposes of determining its net asset value (the “valuation price”). Additionally, where applicable, foreign currency exchange rates with respect to the portfolio holdings denominated in non-U.S. currencies for the valuation price will be generally determined as of the close of business on the New York Stock Exchange, whereas for the vendor price will be generally determined as of 4 p.m. London. The values shown herein for “market value,” “weight,” and “notional value” (the “calculated values”) are based off of the vendor price and may have been different if the valuation price were to have been used to calculate such values. The vendor price is as of the most recent practicable date and may not necessarily be as of the date shown above.
Please see the “Determination of Net Asset Value” section of each Fund’s prospectus for additional information on the Fund’s valuation policies and procedures.
CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW.ISHARES.COM OR WWW.BLACKROCK.COM. READ THE PROSPECTUS CAREFULLY VEFORE INVESTING. INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL.
This information should not be relied upon as research, investment advice, or a recommendation regarding any products, strategies, or any security in particular.
This material is strictly for illustrative, educational, or informational purposes and is subject to change.
The iShares Funds are distributed by BlackRock Investments, LLC (together with its affiliates, “BlackRock”).
The iShares Funds are not sponsored, endorsed, issued, sold or promoted by Barclays, Bloomberg Finance L.P., BlackRock Index Services, LLC, Cohen & Steers Capital Management, Inc., European Public Real Estate Association (“EPRA® ”), FTSE International Limited (“FTSE”), ICE Data Services, LLC, India Index Services & Products Limited, JPMorgan Chase & Co., Japan Exchange Group, MSCI Inc., Markit Indices Limited, Morningstar, Inc., The NASDAQ OMX Group, Inc., National Association of Real Estate Investment Trusts (“NAREIT”), New York Stock Exchange, Inc., Russell or S&P Dow Jones Indices LLC. None of these companies make any representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services, LLC, who is an affiliate, BlackRock Investments, LLC is not affiliated with the companies listed above. Neither FTSE nor NAREIT makes any warranty regarding the FTSE NAREIT Equity REITS Index, FTSE NAREIT All Residential Capped Index or FTSE NAREIT All Mortgage Capped Index; all rights vest in NAREIT. Neither FTSE nor NAREIT makes any warranty regarding the FTSE EPRA/NAREIT Developed Real Estate ex-U.S. Index, FTSE EPRA/NAREIT Developed Europe Index or FTSE EPRA/NAREIT Global REIT Index; all rights vest in FTSE, NAREIT and EPRA.“FTSE®” is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
©2021 BlackRock, Inc. All rights reserved. iSHARES and BLACKROCK are registered trademarks of BlackRock, Inc., or its subsidiaries. All other marks are the property of their respective owners.
ICRMH0421U/S-1620308"
